Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Thu, Nov 22",3:15pm,CHF,Medium Impact Expected,Employment Level,3.87M,3.77M,3.74M
"Thu, Nov 22",4:00pm,EUR,Low Impact Expected,Current Account,0.6B,4.0B,4.5B
"Thu, Nov 22",4:30pm,GBP,Medium Impact Expected,Prelim Business Investment q/q,0.0%,1.0%,0.4%
"Thu, Nov 22",5:00pm,EUR,Medium Impact Expected,Industrial New Orders m/m,-1.6%,-0.7%,0.8%
"Thu, Nov 22",All Day,USD,Non-Economic,Bank Holiday,,,
"Thu, Nov 22",8:30pm,CAD,Low Impact Expected,Corporate Profits q/q,5.8%,-0.7%,
"Thu, Nov 22",9:00pm,EUR,Medium Impact Expected,Belgian NBB Business Climate,1.4,-1.0,-0.1
"Thu, Nov 22",10:30pm,CAD,Low Impact Expected,BOC Review,,,
"Fri, Nov 23",All Day,JPY,Non-Economic,Bank Holiday,,,
"Fri, Nov 23",2:00pm,EUR,Low Impact Expected,German Import Prices m/m,0.7%,0.5%,0.6%
"Fri, Nov 23",2:45pm,EUR,Low Impact Expected,French Consumer Spending m/m,-1.1%,-0.1%,-0.3%
"Fri, Nov 23",3:30pm,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
"Fri, Nov 23",4:00pm,EUR,Medium Impact Expected,Flash Manufacturing PMI,52.6,51.0,51.5
"Fri, Nov 23",4:00pm,EUR,Low Impact Expected,Flash Services PMI,53.7,55.0,55.8
"Fri, Nov 23",4:30pm,GBP,High Impact Expected,Second Estimate GDP q/q,0.7%,0.8%,0.8%
"Fri, Nov 23",4:30pm,GBP,Medium Impact Expected,High Street Lending,44.1K,54.0K,
"Fri, Nov 23",4:30pm,GBP,Low Impact Expected,Index of Services 3m/3m,0.9%,1.0%,0.9%
"Mon, Nov 26",4:45am,NZD,High Impact Expected,Trade Balance,-690M,-562M,-573M
"Mon, Nov 26",6:00pm,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
"Tue, Nov 27",6:50am,JPY,Low Impact Expected,SPPI y/y,1.4%,1.4%,1.3%
"Tue, Nov 27",9:00am,NZD,High Impact Expected,Inflation Expectations q/q,2.70%,2.64%,
"Tue, Nov 27",3:15pm,CHF,Medium Impact Expected,PPI m/m,0.2%,0.3%,-0.3%
"Tue, Nov 27",All Day,EUR,Medium Impact Expected,German Prelim CPI m/m,0.4%,0.1%,0.2%
"Tue, Nov 27",4:00pm,CHF,Medium Impact Expected,UBS Consumption Indicator,2.23,2.00,
"Tue, Nov 27",4:00pm,EUR,High Impact Expected,German ifo Business Climate,104.2,103.3,103.9
"Tue, Nov 27",9:00pm,USD,Low Impact Expected,S&P/CS Composite-20 HPI y/y,-4.9%,-5.0%,-4.3%
"Tue, Nov 27",10:00pm,USD,High Impact Expected,CB Consumer Confidence,87.3,91.5,95.2
"Tue, Nov 27",10:00pm,USD,Low Impact Expected,Richmond Manufacturing Index,0,-2,-5
"Wed, Nov 28",1:30am,USD,Medium Impact Expected,FOMC Member Evans Speaks,,,
"Wed, Nov 28",1:45am,GBP,Medium Impact Expected,MPC Member Sentance Speaks,,,
"Wed, Nov 28",6:50am,JPY,Medium Impact Expected,Retail Sales y/y,0.8%,0.6%,0.5%
"Wed, Nov 28",7:30am,AUD,Medium Impact Expected,Construction Work Done q/q,2.8%,1.6%,-2.1%
"Wed, Nov 28",7:40am,AUD,Medium Impact Expected,HIA New Home Sales m/m,0.8%,9.9%,
"Wed, Nov 28",2:00pm,EUR,Low Impact Expected,German GfK Consumer Climate,4.3,4.5,4.8
"Wed, Nov 28",4:00pm,EUR,Low Impact Expected,M3 Money Supply y/y,12.3%,11.4%,11.3%
"Wed, Nov 28",4:00pm,EUR,Low Impact Expected,Private Loans y/y,11.2%,11.1%,11.0%
"Wed, Nov 28",4:15pm,CHF,Medium Impact Expected,SNB Chairman Roth Speaks,,,
"Wed, Nov 28",5:30pm,CHF,Medium Impact Expected,KOF Economic Barometer,2.02,1.98,2.04
"Wed, Nov 28",8:00pm,USD,Medium Impact Expected,FOMC Member Kohn Speaks,,,
"Wed, Nov 28",8:30pm,USD,High Impact Expected,Core Durable Goods Orders m/m,-0.7%,0.4%,1.1%
"Wed, Nov 28",8:30pm,USD,Medium Impact Expected,Durable Goods Orders m/m,-0.4%,0.0%,-1.4%
"Wed, Nov 28",10:00pm,USD,High Impact Expected,Existing Home Sales,4.97M,5.00M,5.03M
"Wed, Nov 28",10:30pm,USD,Low Impact Expected,Crude Oil Inventories,-0.5M,-1.0M,-1.1M
"Thu, Nov 29",2:00am,USD,Medium Impact Expected,Beige Book,,,
"Thu, Nov 29",4:45am,NZD,Medium Impact Expected,Building Consents m/m,-4.8%,-10.2%,
"Thu, Nov 29",6:10am,AUD,Medium Impact Expected,RBA Deputy Gov Debelle Speaks,,,
"Thu, Nov 29",6:50am,JPY,Medium Impact Expected,Prelim Industrial Production m/m,1.6%,1.4%,-1.4%
"Thu, Nov 29",7:30am,AUD,High Impact Expected,Private Capital Expenditure q/q,-6.5%,2.2%,7.1%
"Thu, Nov 29",9:00am,NZD,Medium Impact Expected,ANZ Business Confidence,-19.6,-12.9,
"Thu, Nov 29",2:00pm,GBP,Medium Impact Expected,Nationwide HPI m/m,-0.8%,0.1%,1.1%
"Thu, Nov 29",3:55pm,EUR,Medium Impact Expected,German Unemployment Change,-52K,-50K,-39K
"Thu, Nov 29",4:00pm,EUR,Low Impact Expected,Retail PMI,45.9,47.9,
"Thu, Nov 29",4:30pm,GBP,Low Impact Expected,Mortgage Approvals,88K,96K,100K
"Thu, Nov 29",4:30pm,GBP,Low Impact Expected,Net Lending to Individuals m/m,8.8B,10.0B,10.8B
"Thu, Nov 29",4:45pm,GBP,High Impact Expected,Monetary Policy Report Hearings,,,
"Thu, Nov 29",6:00pm,GBP,Medium Impact Expected,CBI Realized Sales,13,8,10
"Thu, Nov 29",8:30pm,CAD,Medium Impact Expected,Current Account,1.0B,3.5B,6.3B
"Thu, Nov 29",8:30pm,CAD,Medium Impact Expected,RMPI m/m,0.3%,0.4%,-0.8%
"Thu, Nov 29",8:30pm,CAD,Low Impact Expected,IPPI m/m,-1.1%,-0.6%,-0.8%
"Thu, Nov 29",8:30pm,USD,High Impact Expected,Prelim GDP q/q,4.9%,4.9%,3.9%
"Thu, Nov 29",8:30pm,USD,Medium Impact Expected,Unemployment Claims,352K,330K,329K
"Thu, Nov 29",8:30pm,USD,Low Impact Expected,Prelim GDP Price Index q/q,0.9%,0.8%,0.8%
"Thu, Nov 29",10:00pm,USD,High Impact Expected,New Home Sales,728K,750K,716K
"Thu, Nov 29",10:30pm,USD,Low Impact Expected,Natural Gas Storage,-12B,-20B,4B
"Fri, Nov 30",12:00am,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
"Fri, Nov 30",4:30am,USD,Medium Impact Expected,FOMC Member Mishkin Speaks,,,
"Fri, Nov 30",6:15am,JPY,Low Impact Expected,Final Manufacturing PMI,50.8,49.5,
"Fri, Nov 30",6:30am,JPY,Medium Impact Expected,Tokyo Core CPI y/y,0.1%,0.1%,0.0%
"Fri, Nov 30",6:30am,JPY,Low Impact Expected,Household Spending y/y,0.6%,0.5%,3.2%
"Fri, Nov 30",6:30am,JPY,Low Impact Expected,National Core CPI y/y,0.1%,0.0%,-0.1%
"Fri, Nov 30",6:30am,JPY,Low Impact Expected,Unemployment Rate,4.0%,4.0%,4.0%
"Fri, Nov 30",7:00am,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
"Fri, Nov 30",7:30am,AUD,Medium Impact Expected,Current Account,-15.6B,-16.3B,-15.6B
"Fri, Nov 30",7:30am,AUD,Medium Impact Expected,Private Sector Credit m/m,1.0%,1.1%,1.1%
"Fri, Nov 30",12:00pm,JPY,Low Impact Expected,Housing Starts y/y,-35.0%,-36.7%,-44.0%
"Fri, Nov 30",1:45pm,CHF,High Impact Expected,CPI m/m,0.5%,0.2%,0.9%
"Fri, Nov 30",1:45pm,CHF,Medium Impact Expected,GDP q/q,0.8%,0.7%,0.8%
"Fri, Nov 30",2:00pm,EUR,Medium Impact Expected,German Retail Sales m/m,-3.3%,-0.4%,1.2%
"Fri, Nov 30",5:00pm,EUR,Medium Impact Expected,CPI Flash Estimate y/y,3.0%,2.7%,2.6%
"Fri, Nov 30",5:00pm,EUR,Low Impact Expected,Consumer Confidence,-8,-6,-6
"Fri, Nov 30",5:00pm,EUR,Low Impact Expected,Italian Prelim CPI m/m,0.4%,0.3%,0.3%
"Fri, Nov 30",5:00pm,EUR,Low Impact Expected,Revised GDP q/q,0.7%,0.7%,0.7%
"Fri, Nov 30",5:30pm,GBP,Low Impact Expected,GfK Consumer Confidence,-10,-9,-8
"Fri, Nov 30",8:30pm,CAD,High Impact Expected,GDP m/m,0.1%,0.1%,0.2%
"Fri, Nov 30",8:30pm,USD,Medium Impact Expected,Core PCE Price Index m/m,0.2%,0.2%,0.2%
"Fri, Nov 30",8:30pm,USD,Medium Impact Expected,Personal Spending m/m,0.2%,0.3%,0.3%
"Fri, Nov 30",8:30pm,USD,Low Impact Expected,Personal Income m/m,0.2%,0.4%,0.4%
"Fri, Nov 30",9:45pm,USD,Medium Impact Expected,Chicago PMI,52.9,51.0,49.7
"Fri, Nov 30",10:00pm,USD,Low Impact Expected,Construction Spending m/m,-0.8%,-0.2%,0.2%
"Fri, Nov 30",11:00pm,CHF,Medium Impact Expected,Gov Board Member Hildebrand Speaks,,,
